,Saison,Team,Wert
271,2012,1.FC K'lautern,36.03
272,2012,1.FC Köln,28.03
273,2012,1860 München,23.85
274,2012,FC Ingolstadt,18.18
275,2012,Dynamo Dresden,17.13
276,2012,MSV Duisburg,16.45
277,2012,FC St. Pauli,15.53
278,2012,Union Berlin,15.3
279,2012,VfL Bochum,15.2
280,2012,Energie Cottbus,14.9
281,2012,E. Braunschweig,14.6
282,2012,Erzgebirge Aue,14.4
283,2012,FSV Frankfurt,14.08
284,2012,SC Paderborn,12.93
285,2012,SV Sandhausen,12.9
286,2012,Jahn Regensburg,8.95
287,2012,VfR Aalen,8.78
288,2013,1.FC K'lautern,32.78
289,2013,F. Düsseldorf,28.0
290,2013,1.FC Köln,24.95
291,2013,Greuther Fürth,21.5
292,2013,Union Berlin,16.73
293,2013,FC St. Pauli,16.58
294,2013,1860 München,16.25
295,2013,FC Ingolstadt,15.38
296,2013,FSV Frankfurt,14.7
297,2013,Energie Cottbus,14.65
298,2013,Erzgebirge Aue,13.35
299,2013,VfL Bochum,13.3
300,2013,Dynamo Dresden,13.3
301,2013,Arm. Bielefeld,12.4
302,2013,SC Paderborn,12.35
303,2013,SV Sandhausen,9.9
304,2013,Karlsruher SC,9.78
305,2013,VfR Aalen,7.85
306,2014,1.FC Nürnberg,30.95
307,2014,Greuther Fürth,25.15
308,2014,F. Düsseldorf,24.73
309,2014,RB Leipzig,23.3
310,2014,1.FC K'lautern,22.98
311,2014,1860 München,22.45
312,2014,FC St. Pauli,21.1
313,2014,E. Braunschweig,19.6
314,2014,FC Ingolstadt,16.53
315,2014,Union Berlin,15.58
316,2014,VfL Bochum,15.2
317,2014,Karlsruher SC,14.75
318,2014,FSV Frankfurt,13.55
319,2014,Erzgebirge Aue,13.4
320,2014,Darmstadt 98,12.43
321,2014,SV Sandhausen,12.4
322,2014,VfR Aalen,11.58
323,2014,1.FC Heidenheim,9.35
324,2015,RB Leipzig,35.3
325,2015,SC Freiburg,31.1
326,2015,SC Paderborn,24.73
327,2015,1.FC Nürnberg,24.65
328,2015,F. Düsseldorf,23.58
329,2015,Greuther Fürth,20.4
330,2015,1860 München,19.7
331,2015,Union Berlin,19.15
332,2015,1.FC K'lautern,18.45
333,2015,Karlsruher SC,16.63
334,2015,E. Braunschweig,16.18
335,2015,FC St. Pauli,15.4
336,2015,FSV Frankfurt,14.2
337,2015,MSV Duisburg,13.95
338,2015,VfL Bochum,13.3
339,2015,1.FC Heidenheim,12.78
340,2015,Arm. Bielefeld,12.7
341,2015,SV Sandhausen,11.5
342,2016,VfB Stuttgart,52.38
343,2016,Hannover 96,40.6
